50744;1725;34516;10280;49447;5323;10675;5281;44184;41;1522;21384;15768;25141;19332;22738;6166;66030;61057;50121;10350;895;10378;868;3201;123
2620;402;2324;2714;12088;3225;675;1215;5992;66;501;7514;1384;4203;6338;36518;31;10570;15763;6592;2196;5911;559;87;1069;1324
20542;7965;6483;11025;30023;17394;2593;2737;12300;17971;574;65670;5265;10640;16585;13860;414;34488;11980;26205;15097;4573;1158;1705;3371;138
30868;1445;7191;2945;35609;941;4536;12375;22777;18;2770;9197;25209;7738;39534;2827;33;17010;5170;18682;9956;6715;1478;1192;2921;1636
156680;46237;42978;12880;73210;21084;11235;4420;99813;156;1517;55141;5338;81915;77682;28774;6342;51326;44035;46384;26831;18104;6581;6043;29278;210
1756;2850;2014;10514;11071;431;557;472;12845;1;74;2372;742;6682;16477;742;21;12850;6028;6076;3606;132;366;3307;224;3840
18089;2409;795;675;9561;8596;174;395;60170;12;159;8975;3834;4394;4618;521;2;10121;6400;7542;2007;525;39;36;91;21
13820;2281;1371;1686;11281;78;2640;210;11374;7;186;3291;986;3694;4015;1116;4;3607;3182;10219;2806;230;263;102;1138;22
60627;38773;47075;8614;44690;2088;6992;3288;37375;530;1049;15065;7342;50381;29489;37975;3740;21737;20899;54685;43303;15364;12276;1350;4473;234
333;2;3;5;2002;2;9;3;3619;2;0;21;110;8;10861;1;0;872;23;20;1713;8;5;5;0;0
14581;947;384;392;5926;199;173;233;6795;0;21;679;897;609;8023;219;1;1235;637;4704;958;929;399;29;71;18
40193;4792;27145;21981;18862;9303;2155;16288;35823;18;7701;2647;14875;28531;50920;3156;4;9701;14597;15320;57555;22462;1342;1476;761;108
9047;1169;27693;5005;13841;596;18565;1658;5145;60;323;7140;4753;38995;20831;1080;16;26371;18931;40458;9366;540;534;632;137;501
18337;11002;69994;20079;23336;6772;11223;11242;82354;31;8490;14141;30916;12180;24708;19465;1;40644;39140;37601;21289;12657;3590;275;4848;4315
26113;9280;20129;9235;29247;18448;6208;7078;13885;637;2406;8720;21587;34066;12556;31679;15;16430;39700;93800;3409;2574;18453;1552;18234;671
11842;987;13041;3677;34801;689;1304;2487;17202;44;1382;4439;5062;5437;18003;4847;106;14220;5009;32964;5622;707;562;395;358;535
477;50;115;182;2070;62;76;23;1148;0;8;836;210;632;394;78;0;3092;2318;316;76;25;29;3;124;4
7351;6238;14976;23293;21746;23201;11152;18686;8914;102;2807;26123;21293;37699;18999;36221;63;10788;65077;101221;7467;32116;11928;1135;11508;1916
44079;9848;18931;17182;49612;3744;3333;17993;31381;564;450;32371;16238;22710;40779;16009;37;31646;23891;23583;13397;3528;1742;1740;275;563
67043;20067;13888;24720;186617;1064;33865;7716;50104;46;2906;16105;32369;48555;70752;7675;61;43194;28551;36567;29843;19765;6706;534;15988;1885
19252;1261;9830;3296;50249;4284;861;1498;14710;3;718;2074;2647;6166;8235;1651;5;9666;12474;14014;2320;60;539;2418;4454;34
2853;669;1776;2135;19960;646;859;2633;6992;44;298;6517;3792;2820;5809;1071;115;25824;4049;8449;1008;75;526;198;188;334
1142;349;803;3442;3879;245;398;1869;18939;34;150;15369;698;24542;1610;3081;9;9816;641;1036;369;38;491;20;236;48
16;288;318;4753;1054;2057;166;19;1258;1;26;790;3345;4945;71;239;312;657;430;21661;30;141;24;68;61;2
16561;2499;590;2153;5089;427;789;826;18375;120;5411;28979;760;9730;14623;3319;0;10835;1284;8381;45;58;891;38;651;14
175;125;11;197;167;7;157;6;144;6;0;11422;443;233;100;21;0;528;3047;192;90;41;31;195;20;6
